/Out X,/Out Y,/Out Y,/Out Y,/Out Y,/Out Y,/Out Y,/Out Y,/Out Y,/Out Y,/Out Y
-2,0,0,0.000150106,1,7.83E-23,1.56E-17,1,1.56E-17,7.83E-23,1.56E-17
-1.999,0,4.33E-19,0.000150106,1,8.16E-23,1.63E-17,1,1.63E-17,8.16E-23,1.63E-17
-1.998,0,8.65E-19,0.000150106,1,8.50E-23,1.69E-17,1,1.69E-17,8.50E-23,1.69E-17
-1.997,0,1.30E-18,0.000150106,1,8.83E-23,1.76E-17,1,1.76E-17,8.83E-23,1.76E-17
-1.996,0,1.73E-18,0.000150106,1,9.17E-23,1.83E-17,1,1.83E-17,9.17E-23,1.83E-17
-1.995,0,2.16E-18,0.000150106,1,9.50E-23,1.90E-17,1,1.90E-17,9.50E-23,1.90E-17
-1.994,0,2.60E-18,0.000150106,1,9.84E-23,1.96E-17,1,1.96E-17,9.84E-23,1.96E-17
-1.993,0,3.03E-18,0.000150106,1,1.02E-22,2.03E-17,1,2.03E-17,1.02E-22,2.03E-17
-1.992,0,3.46E-18,0.000150106,1,1.05E-22,2.10E-17,1,2.10E-17,1.05E-22,2.10E-17
-1.991,0,3.89E-18,0.000150106,1,1.08E-22,2.16E-17,1,2.16E-17,1.08E-22,2.16E-17
-1.99,0,4.33E-18,0.000150106,1,1.12E-22,2.23E-17,1,2.23E-17,1.12E-22,2.23E-17
-1.989,0,4.76E-18,0.000150106,1,1.15E-22,2.30E-17,1,2.30E-17,1.15E-22,2.30E-17
-1.988,0,5.19E-18,0.000150106,1,1.18E-22,2.36E-17,1,2.36E-17,1.18E-22,2.36E-17
-1.987,0,5.63E-18,0.000150106,1,1.22E-22,2.43E-17,1,2.43E-17,1.22E-22,2.43E-17
-1.986,0,6.06E-18,0.000150106,1,1.25E-22,2.50E-17,1,2.50E-17,1.25E-22,2.50E-17
-1.985,0,6.49E-18,0.000150106,1,1.29E-22,2.57E-17,1,2.57E-17,1.29E-22,2.57E-17
-1.984,0,6.92E-18,0.000150106,1,1.32E-22,2.63E-17,1,2.63E-17,1.32E-22,2.63E-17
-1.983,0,7.36E-18,0.000150106,1,1.35E-22,2.70E-17,1,2.70E-17,1.35E-22,2.70E-17
-1.982,0,7.79E-18,0.000150106,1,1.39E-22,2.77E-17,1,2.77E-17,1.39E-22,2.77E-17
-1.981,0,8.22E-18,0.000150106,1,1.42E-22,2.83E-17,1,2.83E-17,1.42E-22,2.83E-17
-1.98,0,8.65E-18,0.000150106,1,1.45E-22,2.90E-17,1,2.90E-17,1.45E-22,2.90E-17
-1.979,0,9.09E-18,0.000150106,1,1.49E-22,2.97E-17,1,2.97E-17,1.49E-22,2.97E-17
-1.978,0,9.52E-18,0.000150106,1,1.52E-22,3.03E-17,1,3.03E-17,1.52E-22,3.03E-17
-1.977,0,9.95E-18,0.000150106,1,1.55E-22,3.10E-17,1,3.10E-17,1.55E-22,3.10E-17
-1.976,0,1.04E-17,0.000150106,1,1.59E-22,3.17E-17,1,3.17E-17,1.59E-22,3.17E-17
-1.975,0,1.08E-17,0.000150106,1,1.62E-22,3.24E-17,1,3.24E-17,1.62E-22,3.24E-17
-1.974,0,1.13E-17,0.000150106,1,1.65E-22,3.30E-17,1,3.30E-17,1.65E-22,3.30E-17
-1.973,0,1.17E-17,0.000150106,1,1.69E-22,3.37E-17,1,3.37E-17,1.69E-22,3.37E-17
-1.972,0,1.21E-17,0.000150106,1,1.72E-22,3.44E-17,1,3.44E-17,1.72E-22,3.44E-17
-1.971,0,1.25E-17,0.000150106,1,1.75E-22,3.50E-17,1,3.50E-17,1.75E-22,3.50E-17
-1.97,0,1.30E-17,0.000150106,1,1.79E-22,3.57E-17,1,3.57E-17,1.79E-22,3.57E-17
-1.969,0,1.34E-17,0.000150106,1,1.82E-22,3.64E-17,1,3.64E-17,1.82E-22,3.64E-17
-1.968,0,1.38E-17,0.000150106,1,1.85E-22,3.71E-17,1,3.71E-17,1.85E-22,3.71E-17
-1.967,0,1.43E-17,0.000150106,1,1.89E-22,3.77E-17,1,3.77E-17,1.89E-22,3.77E-17
-1.966,0,1.47E-17,0.000150106,1,1.92E-22,3.84E-17,1,3.84E-17,1.92E-22,3.84E-17
-1.965,0,1.51E-17,0.000150106,1,1.96E-22,3.91E-17,1,3.91E-17,1.96E-22,3.91E-17
-1.964,0,1.56E-17,0.000150106,1,1.99E-22,3.97E-17,1,3.97E-17,1.99E-22,3.97E-17
-1.963,0,1.60E-17,0.000150106,1,2.02E-22,4.04E-17,1,4.04E-17,2.02E-22,4.04E-17
-1.962,0,1.64E-17,0.000150106,1,2.06E-22,4.11E-17,1,4.11E-17,2.06E-22,4.11E-17
-1.961,0,1.69E-17,0.000150106,1,2.09E-22,4.17E-17,1,4.17E-17,2.09E-22,4.17E-17
-1.96,0,1.73E-17,0.000150106,1,2.12E-22,4.24E-17,1,4.24E-17,2.12E-22,4.24E-17
-1.959,0,1.77E-17,0.000150106,1,2.16E-22,4.31E-17,1,4.31E-17,2.16E-22,4.31E-17
-1.958,0,1.82E-17,0.000150106,1,2.19E-22,4.38E-17,1,4.38E-17,2.19E-22,4.38E-17
-1.957,0,1.86E-17,0.000150106,1,2.22E-22,4.44E-17,1,4.44E-17,2.22E-22,4.44E-17
-1.956,0,1.90E-17,0.000150106,1,2.26E-22,4.51E-17,1,4.51E-17,2.26E-22,4.51E-17
-1.955,0,1.95E-17,0.000150106,1,2.29E-22,4.58E-17,1,4.58E-17,2.29E-22,4.58E-17
-1.954,0,1.99E-17,0.000150106,1,2.32E-22,4.64E-17,1,4.64E-17,2.32E-22,4.64E-17
-1.953,0,2.03E-17,0.000150106,1,2.36E-22,4.71E-17,1,4.71E-17,2.36E-22,4.71E-17
-1.952,0,2.08E-17,0.000150106,1,2.39E-22,4.78E-17,1,4.78E-17,2.39E-22,4.78E-17
-1.951,0,2.12E-17,0.000150106,1,2.42E-22,4.85E-17,1,4.85E-17,2.42E-22,4.85E-17
-1.95,0,2.16E-17,0.000150106,1,2.46E-22,4.91E-17,1,4.91E-17,2.46E-22,4.91E-17
-1.949,0,2.21E-17,0.000150106,1,2.49E-22,4.98E-17,1,4.98E-17,2.49E-22,4.98E-17
-1.948,0,2.25E-17,0.000150106,1,2.52E-22,5.05E-17,1,5.05E-17,2.52E-22,5.05E-17
-1.947,0,2.29E-17,0.000150106,1,2.56E-22,5.11E-17,1,5.11E-17,2.56E-22,5.11E-17
-1.946,0,2.34E-17,0.000150106,1,2.59E-22,5.18E-17,1,5.18E-17,2.59E-22,5.18E-17
