X,/vout Y,/vout (L=1.11e-04) (interpolated wth step=0.001) Y,/vout Y,/vout Y,/vout Y,/vout Y,/vout Y,/vout Y,/vout Y,/vout Y
-2,-1.256174638,-1.258770193,-2,-0.039734734,-0.039734734,0,-2,-2,-1.256174638,-0.011447402
-1.999,-1.255449677,-1.258044874,-1.999,-0.039710226,-0.039710226,0,-1.999,-1.999,-1.255449677,-0.011443709
-1.998,-1.254724715,-1.257319555,-1.998,-0.039685718,-0.039685718,0,-1.998,-1.998,-1.254724715,-0.011440016
-1.997,-1.253999754,-1.256594235,-1.997,-0.039661209,-0.039661209,0,-1.997,-1.997,-1.253999754,-0.011436323
-1.996,-1.253274793,-1.255868916,-1.996,-0.039636701,-0.039636701,0,-1.996,-1.996,-1.253274793,-0.01143263
-1.995,-1.252549831,-1.255143597,-1.995,-0.039612193,-0.039612193,0,-1.995,-1.995,-1.252549831,-0.011428937
-1.994,-1.25182487,-1.254418278,-1.994,-0.039587685,-0.039587685,0,-1.994,-1.994,-1.25182487,-0.011425244
-1.993,-1.251099908,-1.253692958,-1.993,-0.039563177,-0.039563177,0,-1.993,-1.993,-1.251099908,-0.011421551
-1.992,-1.250374947,-1.252967639,-1.992,-0.039538669,-0.039538669,0,-1.992,-1.992,-1.250374947,-0.011417858
-1.991,-1.249649986,-1.25224232,-1.991,-0.03951416,-0.03951416,0,-1.991,-1.991,-1.249649986,-0.011414164
-1.99,-1.248925024,-1.251517,-1.99,-0.039489652,-0.039489652,0,-1.99,-1.99,-1.248925024,-0.011410471
-1.989,-1.248200063,-1.250791681,-1.989,-0.039465144,-0.039465144,0,-1.989,-1.989,-1.248200063,-0.011406778
-1.988,-1.247475102,-1.250066362,-1.988,-0.039440636,-0.039440636,0,-1.988,-1.988,-1.247475102,-0.011403085
-1.987,-1.24675014,-1.249341042,-1.987,-0.039416128,-0.039416128,0,-1.987,-1.987,-1.24675014,-0.011399392
-1.986,-1.246025179,-1.248615723,-1.986,-0.039391619,-0.039391619,0,-1.986,-1.986,-1.246025179,-0.011395699
-1.985,-1.245300218,-1.247890404,-1.985,-0.039367111,-0.039367111,0,-1.985,-1.985,-1.245300218,-0.011392006
-1.984,-1.244575256,-1.247165084,-1.984,-0.039342603,-0.039342603,0,-1.984,-1.984,-1.244575256,-0.011388313
-1.983,-1.243850295,-1.246439765,-1.983,-0.039318095,-0.039318095,0,-1.983,-1.983,-1.243850295,-0.01138462
-1.982,-1.243125334,-1.245714446,-1.982,-0.039293587,-0.039293587,0,-1.982,-1.982,-1.243125334,-0.011380927
-1.981,-1.242400372,-1.244989126,-1.981,-0.039269079,-0.039269079,0,-1.981,-1.981,-1.242400372,-0.011377234
-1.98,-1.241675411,-1.244263807,-1.98,-0.03924457,-0.03924457,0,-1.98,-1.98,-1.241675411,-0.011373541
-1.979,-1.240950449,-1.243538488,-1.979,-0.039220062,-0.039220062,0,-1.979,-1.979,-1.240950449,-0.011369848
-1.978,-1.240225488,-1.242813168,-1.978,-0.039195554,-0.039195554,0,-1.978,-1.978,-1.240225488,-0.011366155
-1.977,-1.239500527,-1.242087849,-1.977,-0.039171046,-0.039171046,0,-1.977,-1.977,-1.239500527,-0.011362462
-1.976,-1.238775565,-1.24136253,-1.976,-0.039146538,-0.039146538,0,-1.976,-1.976,-1.238775565,-0.011358769
-1.975,-1.238050604,-1.24063721,-1.975,-0.03912203,-0.03912203,0,-1.975,-1.975,-1.238050604,-0.011355076
-1.974,-1.237325643,-1.239911891,-1.974,-0.039097521,-0.039097521,0,-1.974,-1.974,-1.237325643,-0.011351382
-1.973,-1.236600681,-1.239186572,-1.973,-0.039073013,-0.039073013,0,-1.973,-1.973,-1.236600681,-0.011347689
-1.972,-1.23587572,-1.238461252,-1.972,-0.039048505,-0.039048505,0,-1.972,-1.972,-1.23587572,-0.011343996
-1.971,-1.235150759,-1.237735933,-1.971,-0.039023997,-0.039023997,0,-1.971,-1.971,-1.235150759,-0.011340303
-1.97,-1.234425797,-1.237010614,-1.97,-0.038999489,-0.038999489,0,-1.97,-1.97,-1.234425797,-0.01133661
-1.969,-1.233700836,-1.236285294,-1.969,-0.038974981,-0.038974981,0,-1.969,-1.969,-1.233700836,-0.011332917
-1.968,-1.232975875,-1.235559975,-1.968,-0.038950472,-0.038950472,0,-1.968,-1.968,-1.232975875,-0.011329224
-1.967,-1.232250913,-1.234834656,-1.967,-0.038925964,-0.038925964,0,-1.967,-1.967,-1.232250913,-0.011325531
-1.966,-1.231525952,-1.234109336,-1.966,-0.038901456,-0.038901456,0,-1.966,-1.966,-1.231525952,-0.011321838
-1.965,-1.230800991,-1.233384017,-1.965,-0.038876948,-0.038876948,0,-1.965,-1.965,-1.230800991,-0.011318145
-1.964,-1.230076029,-1.232658698,-1.964,-0.03885244,-0.03885244,0,-1.964,-1.964,-1.230076029,-0.011314452
-1.963,-1.229351068,-1.231933379,-1.963,-0.038827931,-0.038827931,0,-1.963,-1.963,-1.229351068,-0.011310759
-1.962,-1.228626106,-1.231208059,-1.962,-0.038803423,-0.038803423,0,-1.962,-1.962,-1.228626106,-0.011307066
-1.961,-1.227901145,-1.23048274,-1.961,-0.038778915,-0.038778915,0,-1.961,-1.961,-1.227901145,-0.011303373
-1.96,-1.227176184,-1.229757421,-1.96,-0.038754407,-0.038754407,0,-1.96,-1.96,-1.227176184,-0.01129968
-1.959,-1.226451222,-1.229032101,-1.959,-0.038729899,-0.038729899,0,-1.959,-1.959,-1.226451222,-0.011295987
-1.958,-1.225726261,-1.228306782,-1.958,-0.038705391,-0.038705391,0,-1.958,-1.958,-1.225726261,-0.011292293
-1.957,-1.2250013,-1.227581463,-1.957,-0.038680882,-0.038680882,0,-1.957,-1.957,-1.2250013,-0.0112886
-1.956,-1.224276338,-1.226856143,-1.956,-0.038656374,-0.038656374,0,-1.956,-1.956,-1.224276338,-0.011284907
-1.955,-1.223551377,-1.226130824,-1.955,-0.038631866,-0.038631866,0,-1.955,-1.955,-1.223551377,-0.011281214
-1.954,-1.222826416,-1.225405505,-1.954,-0.038607358,-0.038607358,0,-1.954,-1.954,-1.222826416,-0.011277521
-1.953,-1.222101454,-1.224680185,-1.953,-0.03858285,-0.03858285,0,-1.953,-1.953,-1.222101454,-0.011273828
-1.952,-1.221376493,-1.223954866,-1.952,-0.038558342,-0.038558342,0,-1.952,-1.952,-1.221376493,-0.011270135
-1.951,-1.220651532,-1.223229547,-1.951,-0.038533833,-0.038533833,0,-1.951,-1.951,-1.220651532,-0.011266442
-1.95,-1.21992657,-1.222504227,-1.95,-0.038509325,-0.038509325,0,-1.95,-1.95,-1.21992657,-0.011262749
-1.949,-1.219201609,-1.221778908,-1.949,-0.038484817,-0.038484817,0,-1.949,-1.949,-1.219201609,-0.011259056
-1.948,-1.218476648,-1.221053589,-1.948,-0.038460309,-0.038460309,0,-1.948,-1.948,-1.218476648,-0.011255363
-1.947,-1.217751686,-1.220328269,-1.947,-0.038435801,-0.038435801,0,-1.947,-1.947,-1.217751686,-0.01125167
-1.946,-1.217026725,-1.21960295,-1.946,-0.038411293,-0.038411293,0,-1.946,-1.946,-1.217026725,-0.011247977
-1.945,-1.216301763,-1.218877631,-1.945,-0.038386784,-0.038386784,0,-1.945,-1.945,-1.216301763,-0.011244284
-1.944,-1.215576802,-1.218152311,-1.944,-0.038362276,-0.038362276,0,-1.944,-1.944,-1.215576802,-0.011240591
-1.943,-1.214851841,-1.217426992,-1.943,-0.038337768,-0.038337768,0,-1.943,-1.943,-1.214851841,-0.011236898
-1.942,-1.214126879,-1.216701673,-1.942,-0.03831326,-0.03831326,0,-1.942,-1.942,-1.214126879,-0.011233205
-1.941,-1.213401918,-1.215976353,-1.941,-0.038288752,-0.038288752,0,-1.941,-1.941,-1.213401918,-0.011229511
-1.94,-1.212676957,-1.215251034,-1.94,-0.038264243,-0.038264243,0,-1.94,-1.94,-1.212676957,-0.011225818
-1.939,-1.211951995,-1.214525715,-1.939,-0.038239735,-0.038239735,0,-1.939,-1.939,-1.211951995,-0.011222125
-1.938,-1.211227034,-1.213800395,-1.938,-0.038215227,-0.038215227,0,-1.938,-1.938,-1.211227034,-0.011218432
-1.937,-1.210502073,-1.213075076,-1.937,-0.038190719,-0.038190719,0,-1.937,-1.937,-1.210502073,-0.011214739
-1.936,-1.209777111,-1.212349757,-1.936,-0.038166211,-0.038166211,0,-1.936,-1.936,-1.209777111,-0.011211046
-1.935,-1.20905215,-1.211624437,-1.935,-0.038141703,-0.038141703,0,-1.935,-1.935,-1.20905215,-0.011207353
-1.934,-1.208327189,-1.210899118,-1.934,-0.038117194,-0.038117194,0,-1.934,-1.934,-1.208327189,-0.01120366
-1.933,-1.207602227,-1.210173799,-1.933,-0.038092686,-0.038092686,0,-1.933,-1.933,-1.207602227,-0.011199967
-1.932,-1.206877266,-1.20944848,-1.932,-0.038068178,-0.038068178,0,-1.932,-1.932,-1.206877266,-0.011196274
-1.931,-1.206152304,-1.20872316,-1.931,-0.03804367,-0.03804367,0,-1.931,-1.931,-1.206152304,-0.011192581
-1.93,-1.205427343,-1.207997841,-1.93,-0.038019162,-0.038019162,0,-1.93,-1.93,-1.205427343,-0.011188888
-1.929,-1.204702382,-1.207272522,-1.929,-0.037994654,-0.037994654,0,-1.929,-1.929,-1.204702382,-0.011185195
-1.928,-1.20397742,-1.206547202,-1.928,-0.037970145,-0.037970145,0,-1.928,-1.928,-1.20397742,-0.011181502
-1.927,-1.203252459,-1.205821883,-1.927,-0.037945637,-0.037945637,0,-1.927,-1.927,-1.203252459,-0.011177809
-1.926,-1.202527498,-1.205096564,-1.926,-0.037921129,-0.037921129,0,-1.926,-1.926,-1.202527498,-0.011174116
-1.925,-1.201802536,-1.204371244,-1.925,-0.037896621,-0.037896621,0,-1.925,-1.925,-1.201802536,-0.011170422
-1.924,-1.201077575,-1.203645925,-1.924,-0.037872113,-0.037872113,0,-1.924,-1.924,-1.201077575,-0.011166729
-1.923,-1.200352614,-1.202920606,-1.923,-0.037847604,-0.037847604,0,-1.923,-1.923,-1.200352614,-0.011163036
-1.922,-1.199627652,-1.202195286,-1.922,-0.037823096,-0.037823096,0,-1.922,-1.922,-1.199627652,-0.011159343
-1.921,-1.198902691,-1.201469967,-1.921,-0.037798588,-0.037798588,0,-1.921,-1.921,-1.198902691,-0.01115565
-1.92,-1.19817773,-1.200744648,-1.92,-0.03777408,-0.03777408,0,-1.92,-1.92,-1.19817773,-0.011151957
-1.919,-1.197454994,-1.20002157,-1.919,-0.037750404,-0.037750404,0,-1.919,-1.919,-1.197454994,-0.011148351
-1.918,-1.196732258,-1.199298492,-1.918,-0.037726727,-0.037726727,0,-1.918,-1.918,-1.196732258,-0.011144744
-1.917,-1.196009521,-1.198575414,-1.917,-0.037703051,-0.037703051,0,-1.917,-1.917,-1.196009521,-0.011141138
-1.916,-1.195286785,-1.197852337,-1.916,-0.037679375,-0.037679375,0,-1.916,-1.916,-1.195286785,-0.011137532
-1.915,-1.194564049,-1.197129259,-1.915,-0.037655698,-0.037655698,0,-1.915,-1.915,-1.194564049,-0.011133925
-1.914,-1.193841313,-1.196406181,-1.914,-0.037632022,-0.037632022,0,-1.914,-1.914,-1.193841313,-0.011130319
-1.913,-1.193118577,-1.195683103,-1.913,-0.037608346,-0.037608346,0,-1.913,-1.913,-1.193118577,-0.011126712
-1.912,-1.192395841,-1.194960026,-1.912,-0.03758467,-0.03758467,0,-1.912,-1.912,-1.192395841,-0.011123106
-1.911,-1.191673105,-1.194236948,-1.911,-0.037560993,-0.037560993,0,-1.911,-1.911,-1.191673105,-0.0111195
-1.91,-1.190950369,-1.19351387,-1.91,-0.037537317,-0.037537317,0,-1.91,-1.91,-1.190950369,-0.011115893
-1.909,-1.190227633,-1.192790792,-1.909,-0.037513641,-0.037513641,0,-1.909,-1.909,-1.190227633,-0.011112287
-1.908,-1.189504897,-1.192067715,-1.908,-0.037489964,-0.037489964,0,-1.908,-1.908,-1.189504897,-0.01110868
-1.907,-1.188782161,-1.191344637,-1.907,-0.037466288,-0.037466288,0,-1.907,-1.907,-1.188782161,-0.011105074
-1.906,-1.188059425,-1.190621559,-1.906,-0.037442612,-0.037442612,0,-1.906,-1.906,-1.188059425,-0.011101467
-1.905,-1.187336689,-1.189898481,-1.905,-0.037418935,-0.037418935,0,-1.905,-1.905,-1.187336689,-0.011097861
-1.904,-1.186613953,-1.189175404,-1.904,-0.037395259,-0.037395259,0,-1.904,-1.904,-1.186613953,-0.011094255
-1.903,-1.185891217,-1.188452326,-1.903,-0.037371583,-0.037371583,0,-1.903,-1.903,-1.185891217,-0.011090648
-1.902,-1.185168481,-1.187729248,-1.902,-0.037347906,-0.037347906,0,-1.902,-1.902,-1.185168481,-0.011087042
-1.901,-1.184445745,-1.18700617,-1.901,-0.03732423,-0.03732423,0,-1.901,-1.901,-1.184445745,-0.011083435
-1.9,-1.183723009,-1.186283093,-1.9,-0.037300554,-0.037300554,0,-1.9,-1.9,-1.183723009,-0.011079829
-1.899,-1.183000273,-1.185560015,-1.899,-0.037276878,-0.037276878,0,-1.899,-1.899,-1.183000273,-0.011076223
-1.898,-1.182277537,-1.184836937,-1.898,-0.037253201,-0.037253201,0,-1.898,-1.898,-1.182277537,-0.011072616
-1.897,-1.181554801,-1.184113859,-1.897,-0.037229525,-0.037229525,0,-1.897,-1.897,-1.181554801,-0.01106901
-1.896,-1.180832065,-1.183390782,-1.896,-0.037205849,-0.037205849,0,-1.896,-1.896,-1.180832065,-0.011065403
-1.895,-1.180109329,-1.182667704,-1.895,-0.037182172,-0.037182172,0,-1.895,-1.895,-1.180109329,-0.011061797
-1.894,-1.179386593,-1.181944626,-1.894,-0.037158496,-0.037158496,0,-1.894,-1.894,-1.179386593,-0.011058191
-1.893,-1.178663857,-1.181221548,-1.893,-0.03713482,-0.03713482,0,-1.893,-1.893,-1.178663857,-0.011054584
