eta0,eta1,eta2,eta3
-4.441099986433982849e-02,-9.508600234985351562e-01,-1.689999923110008240e-02,-1.422299957275390625e+02
8.390700221061706543e-01,-1.000000000000000000e+00,0.000000000000000000e+00,2.097800012914300170e-17
-6.064699888229370117e-01,-1.000000000000000000e+00,0.000000000000000000e+00,1.086699974450766604e-08
-9.999200105667114258e-01,-1.000000000000000000e+00,0.000000000000000000e+00,-4.559599861765825104e-18
8.390700221061706543e-01,-1.000000000000000000e+00,0.000000000000000000e+00,-1.853299982222406122e-17
3.148500061035156250e+01,2.855099970474839211e-03,-9.997999668121337891e-02,6.301599979400634766e+00
-1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,4.406999928000817452e-16
1.830700073242187500e+02,-1.839400024414062500e+02,-8.357499694824218750e+01,4.296600073575973511e-02
-6.064699888229370117e-01,-1.000000000000000000e+00,0.000000000000000000e+00,1.086699974450766604e-08
1.215900033712387085e-01,-7.357800006866455078e-01,-7.944100350141525269e-02,3.108999967575073242e+00
8.390700221061706543e-01,-1.000000000000000000e+00,0.000000000000000000e+00,2.097800012914300170e-17
-9.999200105667114258e-01,-1.000000000000000000e+00,0.000000000000000000e+00,-4.559599861765825104e-18
7.651699781417846680e-01,-8.029099553823471069e-03,6.371399760246276855e-01,1.218400001525878906e+00
8.390700221061706543e-01,-1.000000000000000000e+00,0.000000000000000000e+00,2.097800012914300170e-17
8.390700221061706543e-01,-1.000000000000000000e+00,0.000000000000000000e+00,-1.853299982222406122e-17
-1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,4.406999928000817452e-16
1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,4.498200230129483987e-16
-4.591299965977668762e-02,-7.263299822807312012e-01,7.349299639463424683e-02,1.050699996948242188e+01
-9.999200105667114258e-01,-1.000000000000000000e+00,0.000000000000000000e+00,-4.559599861765825104e-18
