eta0,eta1,eta2,eta3
5.680000036954879761e-02,-9.187999963760375977e-01,2.365999966859817505e-01,-9.246899604797363281e+00
4.664700105786323547e-02,-9.524899721145629883e-01,-6.771000027656555176e-01,1.271599960327148438e+01
-9.089499711990356445e-01,-1.001999974250793457e+00,-1.133900042623281479e-02,1.383400056511163712e-03
-6.260200142860412598e-01,-2.091999910771846771e-02,6.094599962234497070e-01,1.564399957656860352e+00
9.998499751091003418e-01,-1.000000000000000000e+00,0.000000000000000000e+00,2.431599980995581426e-17
9.998499751091003418e-01,-1.000000000000000000e+00,0.000000000000000000e+00,2.431599980995581426e-17
-9.103599786758422852e-01,-1.000000000000000000e+00,0.000000000000000000e+00,-4.019200120606971954e-17
1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,4.498200230129483987e-16
-9.103599786758422852e-01,-1.000000000000000000e+00,0.000000000000000000e+00,-4.019200120606971954e-17
1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,4.498200230129483987e-16
9.998499751091003418e-01,-1.000000000000000000e+00,0.000000000000000000e+00,2.431599980995581426e-17
-1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,4.406999928000817452e-16
-1.290400028228759766e+01,-1.861899948120117188e+01,1.950099945068359375e+00,-2.073600053787231445e+00
