X,R1_short,R1_open,R3_short,R2_open,R3_open,R4_open,R2_short,G-D short(output_correct),G-S short,D-S short,Transistor-open,R4_short
-2.0,-0.02568332904847235,-1.2487990327670042,-1.2946137797122146,-0.010074130688081445,-0.010074130688081445,-0.010074130688081445,-0.010074130688081445,-0.025683134975759858,-1.2945518797159168,-2.0000002709618263,-2.0000002709618263,-2.0000002709618263
-1.9990002499375157,-0.025675714430171977,-1.2481038146049872,-1.2939014659307924,-0.010074349041788227,-0.010074349041788227,-0.010074349041788227,-0.010074349041788227,-0.02567552045049617,-1.293839641410825,-1.9990002705601426,-1.9990002705601426,-1.9990002705601426
-1.9980004998750311,-0.025668099811570283,-1.2474085964480734,-1.2931891521725238,-0.01007456739521003,-0.01007456739521003,-0.01007456739521003,-0.01007456739521003,-0.02566790592493117,-1.2931274031286635,-1.9980002701584585,-1.9980002701584585,-1.9980002701584585
-1.9970007498125468,-0.025660485192664964,-1.2467133782963025,-1.2924768384375651,-0.010074785748344653,-0.010074785748344653,-0.010074785748344653,-0.010074785748344653,-0.02566029139906254,-1.2924151648695876,-1.9970002697567746,-1.9970002697567746,-1.9970002697567746
-1.9960009997500625,-0.025652870573453716,-1.2460181601497133,-1.2917645247260747,-0.010075004101189876,-0.010075004101189876,-0.010075004101189876,-0.010075004101189876,-0.025652676872887963,-1.2917029266337539,-1.9960002693550907,-1.9960002693550907,-1.9960002693550907
-1.9950012496875782,-0.025645255953934167,-1.245322942008346,-1.291052211038211,-0.010075222453743479,-0.010075222453743479,-0.010075222453743479,-0.010075222453743479,-0.025645062346405095,-1.2909906884213196,-1.995000268953407,-1.995000268953407,-1.995000268953407
-1.9940014996250937,-0.025637641334103962,-1.2446277238722403,-1.2903398973741338,-0.010075440806003241,-0.010075440806003241,-0.010075440806003241,-0.010075440806003241,-0.02563744781961161,-1.2902784502324431,-1.9940002685517229,-1.9940002685517229,-1.9940002685517229
-1.9930017495626093,-0.025630026713960766,-1.2439325057414372,-1.2896275837340043,-0.010075659157966882,-0.010075659157966882,-0.010075659157966882,-0.010075659157966882,-0.025629833292505073,-1.2895662120672846,-1.993000268150039,-1.993000268150039,-1.993000268150039
-1.992001999500125,-0.025622412093502134,-1.2432372876159774,-1.2889152701179851,-0.01007587750963214,-0.01007587750963214,-0.01007587750963214,-0.01007587750963214,-0.025622218765083152,-1.2888539739260043,-1.992000267748355,-1.992000267748355,-1.992000267748355
-1.9910022494376405,-0.025614797472725687,-1.2425420694959013,-1.2882029565262387,-0.010076095860996717,-0.010076095860996717,-0.010076095860996717,-0.010076095860996717,-0.025614604237343394,-1.288141735808764,-1.991000267346671,-1.991000267346671,-1.991000267346671
-1.9900024993751562,-0.025607182851628968,-1.241846851381251,-1.28749064295893,-0.010076314212058306,-0.010076314212058306,-0.010076314212058306,-0.010076314212058306,-0.025606989709283372,-1.2874294977157266,-1.990000266944987,-1.990000266944987,-1.990000266944987
-1.9890027493126718,-0.025599568230209563,-1.241151633272068,-1.2867783294162236,-0.01007653256281457,-0.01007653256281457,-0.01007653256281457,-0.01007653256281457,-0.02559937518090067,-1.2867172596470564,-1.9890002665433033,-1.9890002665433033,-1.9890002665433033
-1.9880029992501875,-0.025591953608464987,-1.2404564151683939,-1.286066015898287,-0.010076750913263188,-0.010076750913263188,-0.010076750913263188,-0.010076750913263188,-0.025591760652192784,-1.286005021602918,-1.9880002661416194,-1.9880002661416194,-1.9880002661416194
-1.987003249187703,-0.025584338986392743,-1.2397611970702715,-1.285353702405287,-0.010076969263401755,-0.010076969263401755,-0.010076969263401755,-0.010076969263401755,-0.02558414612315725,-1.2852927835834775,-1.9870002657399353,-1.9870002657399353,-1.9870002657399353
