X,robust_vout,R-open_(Vt shift),R_Short,G-D short,G-S short,D-S short
-2,7.80E-18,0,3.90E-23,7.80E-18,-2,1
-1.999,8.14E-18,2.16E-15,4.07E-23,8.14E-18,-1.999,1
-1.998,8.47E-18,4.33E-15,4.24E-23,8.47E-18,-1.998,1
-1.997,8.81E-18,6.49E-15,4.40E-23,8.81E-18,-1.997,1
-1.996,9.14E-18,8.65E-15,4.57E-23,9.14E-18,-1.996,1
-1.995,9.48E-18,1.08E-14,4.74E-23,9.48E-18,-1.995,1
-1.994,9.81E-18,1.30E-14,4.91E-23,9.81E-18,-1.994,1
-1.993,1.01E-17,1.51E-14,5.07E-23,1.01E-17,-1.993,1
-1.992,1.05E-17,1.73E-14,5.24E-23,1.05E-17,-1.992,1
-1.991,1.08E-17,1.95E-14,5.41E-23,1.08E-17,-1.991,1
-1.99,1.12E-17,2.16E-14,5.58E-23,1.12E-17,-1.99,1
-1.989,1.15E-17,2.38E-14,5.74E-23,1.15E-17,-1.989,1
-1.988,1.18E-17,2.60E-14,5.91E-23,1.18E-17,-1.988,1
-1.987,1.22E-17,2.81E-14,6.08E-23,1.22E-17,-1.987,1
-1.986,1.25E-17,3.03E-14,6.25E-23,1.25E-17,-1.986,1
-1.985,1.28E-17,3.25E-14,6.41E-23,1.28E-17,-1.985,1
-1.984,1.32E-17,3.46E-14,6.58E-23,1.32E-17,-1.984,1
-1.983,1.35E-17,3.68E-14,6.75E-23,1.35E-17,-1.983,1
-1.982,1.38E-17,3.89E-14,6.92E-23,1.38E-17,-1.982,1
-1.981,1.42E-17,4.11E-14,7.08E-23,1.42E-17,-1.981,1
-1.98,1.45E-17,4.33E-14,7.25E-23,1.45E-17,-1.98,1
-1.979,1.48E-17,4.54E-14,7.42E-23,1.48E-17,-1.979,1
-1.978,1.52E-17,4.76E-14,7.59E-23,1.52E-17,-1.978,1
-1.977,1.55E-17,4.98E-14,7.76E-23,1.55E-17,-1.977,1
-1.976,1.58E-17,5.19E-14,7.92E-23,1.58E-17,-1.976,1
-1.975,1.62E-17,5.41E-14,8.09E-23,1.62E-17,-1.975,1
-1.974,1.65E-17,5.63E-14,8.26E-23,1.65E-17,-1.974,1
-1.973,1.69E-17,5.84E-14,8.43E-23,1.69E-17,-1.973,1
-1.972,1.72E-17,6.06E-14,8.59E-23,1.72E-17,-1.972,1
-1.971,1.75E-17,6.27E-14,8.76E-23,1.75E-17,-1.971,1
-1.97,1.79E-17,6.49E-14,8.93E-23,1.79E-17,-1.97,1
-1.969,1.82E-17,6.71E-14,9.10E-23,1.82E-17,-1.969,1
-1.968,1.85E-17,6.92E-14,9.26E-23,1.85E-17,-1.968,1
-1.967,1.89E-17,7.14E-14,9.43E-23,1.89E-17,-1.967,1
-1.966,1.92E-17,7.36E-14,9.60E-23,1.92E-17,-1.966,1
-1.965,1.95E-17,7.57E-14,9.77E-23,1.95E-17,-1.965,1
-1.964,1.99E-17,7.79E-14,9.93E-23,1.99E-17,-1.964,1
-1.963,2.02E-17,8.01E-14,1.01E-22,2.02E-17,-1.963,1
-1.962,2.05E-17,8.22E-14,1.03E-22,2.05E-17,-1.962,1
-1.961,2.09E-17,8.44E-14,1.04E-22,2.09E-17,-1.961,1
-1.96,2.12E-17,8.65E-14,1.06E-22,2.12E-17,-1.96,1
-1.959,2.15E-17,8.87E-14,1.08E-22,2.15E-17,-1.959,1
-1.958,2.19E-17,9.09E-14,1.09E-22,2.19E-17,-1.958,1
-1.957,2.22E-17,9.30E-14,1.11E-22,2.22E-17,-1.957,1
-1.956,2.26E-17,9.52E-14,1.13E-22,2.26E-17,-1.956,1
-1.955,2.29E-17,9.74E-14,1.14E-22,2.29E-17,-1.955,1
-1.954,2.32E-17,9.95E-14,1.16E-22,2.32E-17,-1.954,1
-1.953,2.36E-17,1.02E-13,1.18E-22,2.36E-17,-1.953,1
-1.952,2.39E-17,1.04E-13,1.19E-22,2.39E-17,-1.952,1
-1.951,2.42E-17,1.06E-13,1.21E-22,2.42E-17,-1.951,1
-1.95,2.46E-17,1.08E-13,1.23E-22,2.46E-17,-1.95,1
-1.949,2.49E-17,1.10E-13,1.24E-22,2.49E-17,-1.949,1
-1.948,2.52E-17,1.13E-13,1.26E-22,2.52E-17,-1.948,1
-1.947,2.56E-17,1.15E-13,1.28E-22,2.56E-17,-1.947,1
-1.946,2.59E-17,1.17E-13,1.30E-22,2.59E-17,-1.946,1
-1.945,2.62E-17,1.19E-13,1.31E-22,2.62E-17,-1.945,1
-1.944,2.66E-17,1.21E-13,1.33E-22,2.66E-17,-1.944,1
-1.943,2.69E-17,1.23E-13,1.35E-22,2.69E-17,-1.943,1
-1.942,2.72E-17,1.25E-13,1.36E-22,2.72E-17,-1.942,1
-1.941,2.76E-17,1.28E-13,1.38E-22,2.76E-17,-1.941,1
-1.94,2.79E-17,1.30E-13,1.40E-22,2.79E-17,-1.94,1
-1.939,2.82E-17,1.32E-13,1.41E-22,2.82E-17,-1.939,1
-1.938,2.86E-17,1.34E-13,1.43E-22,2.86E-17,-1.938,1
-1.937,2.89E-17,1.36E-13,1.45E-22,2.89E-17,-1.937,1
-1.936,2.93E-17,1.38E-13,1.46E-22,2.93E-17,-1.936,1
-1.935,2.96E-17,1.41E-13,1.48E-22,2.96E-17,-1.935,1
-1.934,2.99E-17,1.43E-13,1.50E-22,2.99E-17,-1.934,1
-1.933,3.03E-17,1.45E-13,1.51E-22,3.03E-17,-1.933,1
-1.932,3.06E-17,1.47E-13,1.53E-22,3.06E-17,-1.932,1
-1.931,3.09E-17,1.49E-13,1.55E-22,3.09E-17,-1.931,1
-1.93,3.13E-17,1.51E-13,1.56E-22,3.13E-17,-1.93,1
-1.929,3.16E-17,1.54E-13,1.58E-22,3.16E-17,-1.929,1
-1.928,3.19E-17,1.56E-13,1.60E-22,3.19E-17,-1.928,1
-1.927,3.23E-17,1.58E-13,1.61E-22,3.23E-17,-1.927,1
-1.926,3.26E-17,1.60E-13,1.63E-22,3.26E-17,-1.926,1
-1.925,3.29E-17,1.62E-13,1.65E-22,3.29E-17,-1.925,1
-1.924,3.33E-17,1.64E-13,1.66E-22,3.33E-17,-1.924,1
-1.923,3.36E-17,1.67E-13,1.68E-22,3.36E-17,-1.923,1
-1.922,3.39E-17,1.69E-13,1.70E-22,3.39E-17,-1.922,1
-1.921,3.43E-17,1.71E-13,1.71E-22,3.43E-17,-1.921,1
-1.92,3.46E-17,1.73E-13,1.73E-22,3.46E-17,-1.92,1
-1.919,3.61E-17,1.81E-13,1.81E-22,3.61E-17,-1.919,1
-1.918,3.76E-17,1.88E-13,1.88E-22,3.76E-17,-1.918,1
-1.917,3.91E-17,1.95E-13,1.95E-22,3.91E-17,-1.917,1
-1.916,4.06E-17,2.03E-13,2.03E-22,4.06E-17,-1.916,1
-1.915,4.20E-17,2.10E-13,2.10E-22,4.20E-17,-1.915,1
-1.914,4.35E-17,2.18E-13,2.18E-22,4.35E-17,-1.914,1
-1.913,4.50E-17,2.25E-13,2.25E-22,4.50E-17,-1.913,1
-1.912,4.65E-17,2.33E-13,2.33E-22,4.65E-17,-1.912,1
-1.911,4.80E-17,2.40E-13,2.40E-22,4.80E-17,-1.911,1
-1.91,4.95E-17,2.47E-13,2.47E-22,4.95E-17,-1.91,1
-1.909,5.10E-17,2.55E-13,2.55E-22,5.10E-17,-1.909,1
-1.908,5.24E-17,2.62E-13,2.62E-22,5.24E-17,-1.908,1
-1.907,5.39E-17,2.70E-13,2.70E-22,5.39E-17,-1.907,1
-1.906,5.54E-17,2.77E-13,2.77E-22,5.54E-17,-1.906,1
-1.905,5.69E-17,2.85E-13,2.85E-22,5.69E-17,-1.905,1
-1.904,5.84E-17,2.92E-13,2.92E-22,5.84E-17,-1.904,1
-1.903,5.99E-17,2.99E-13,2.99E-22,5.99E-17,-1.903,1
-1.902,6.14E-17,3.07E-13,3.07E-22,6.14E-17,-1.902,1
-1.901,6.28E-17,3.14E-13,3.14E-22,6.28E-17,-1.901,1
-1.9,6.43E-17,3.22E-13,3.22E-22,6.43E-17,-1.9,1
-1.899,6.58E-17,3.29E-13,3.29E-22,6.58E-17,-1.899,1
-1.898,6.73E-17,3.37E-13,3.37E-22,6.73E-17,-1.898,1
-1.897,6.88E-17,3.44E-13,3.44E-22,6.88E-17,-1.897,1
-1.896,7.03E-17,3.51E-13,3.51E-22,7.03E-17,-1.896,1
-1.895,7.18E-17,3.59E-13,3.59E-22,7.18E-17,-1.895,1
-1.894,7.33E-17,3.66E-13,3.66E-22,7.33E-17,-1.894,1
-1.893,7.47E-17,3.74E-13,3.74E-22,7.47E-17,-1.893,1
-1.892,7.62E-17,3.81E-13,3.81E-22,7.62E-17,-1.892,1
-1.891,7.77E-17,3.89E-13,3.89E-22,7.77E-17,-1.891,1
-1.89,7.92E-17,3.96E-13,3.96E-22,7.92E-17,-1.89,1
-1.889,8.07E-17,4.03E-13,4.03E-22,8.07E-17,-1.889,1
-1.888,8.22E-17,4.11E-13,4.11E-22,8.22E-17,-1.888,1
-1.887,8.37E-17,4.18E-13,4.18E-22,8.37E-17,-1.887,1
-1.886,8.51E-17,4.26E-13,4.26E-22,8.51E-17,-1.886,1
-1.885,8.66E-17,4.33E-13,4.33E-22,8.66E-17,-1.885,1
-1.884,8.81E-17,4.41E-13,4.41E-22,8.81E-17,-1.884,1
-1.883,8.96E-17,4.48E-13,4.48E-22,8.96E-17,-1.883,1
-1.882,9.11E-17,4.55E-13,4.55E-22,9.11E-17,-1.882,1
-1.881,9.26E-17,4.63E-13,4.63E-22,9.26E-17,-1.881,1
