X,robust_vout,R1_short,R1_open,R3_short,R2_open,R3_open,R4_open,R2_short,G-D short(output_correct),G-S short,D-S short,Transistor-open,R4_short
-2,-3.89E-02,-2.79E-02,-1.258,-1.302,-1.23E-02,-1.23E-02,-1.23E-02,-1.23E-02,-2.79E-02,-1.301,-2,-2,-2
-1.999,-3.88E-02,-2.79E-02,-1.257,-1.301,-1.23E-02,-1.23E-02,-1.23E-02,-1.23E-02,-2.79E-02,-1.3,-1.999,-1.999,-1.999
-1.998,-3.88E-02,-2.79E-02,-1.256,-1.3,-1.23E-02,-1.23E-02,-1.23E-02,-1.23E-02,-2.79E-02,-1.3,-1.998,-1.998,-1.998
-1.997,-3.88E-02,-2.79E-02,-1.256,-1.3,-1.23E-02,-1.23E-02,-1.23E-02,-1.23E-02,-2.79E-02,-1.299,-1.997,-1.997,-1.997
-1.996,-3.88E-02,-2.79E-02,-1.255,-1.299,-1.23E-02,-1.23E-02,-1.23E-02,-1.23E-02,-2.79E-02,-1.298,-1.996,-1.996,-1.996
-1.995,-3.87E-02,-2.79E-02,-1.254,-1.298,-1.23E-02,-1.23E-02,-1.23E-02,-1.23E-02,-2.79E-02,-1.298,-1.995,-1.995,-1.995
-1.994,-3.87E-02,-2.78E-02,-1.253,-1.297,-1.23E-02,-1.23E-02,-1.23E-02,-1.23E-02,-2.78E-02,-1.297,-1.994,-1.994,-1.994
-1.993,-3.87E-02,-2.78E-02,-1.253,-1.297,-1.23E-02,-1.23E-02,-1.23E-02,-1.23E-02,-2.78E-02,-1.296,-1.993,-1.993,-1.993
-1.992,-3.87E-02,-2.78E-02,-1.252,-1.296,-1.23E-02,-1.23E-02,-1.23E-02,-1.23E-02,-2.78E-02,-1.295,-1.992,-1.992,-1.992
-1.991,-3.86E-02,-2.78E-02,-1.251,-1.295,-1.23E-02,-1.23E-02,-1.23E-02,-1.23E-02,-2.78E-02,-1.295,-1.991,-1.991,-1.991
-1.99,-3.86E-02,-2.78E-02,-1.251,-1.294,-1.23E-02,-1.23E-02,-1.23E-02,-1.23E-02,-2.78E-02,-1.294,-1.99,-1.99,-1.99
-1.989,-3.86E-02,-2.78E-02,-1.25,-1.294,-1.23E-02,-1.23E-02,-1.23E-02,-1.23E-02,-2.78E-02,-1.293,-1.989,-1.989,-1.989
-1.988,-3.86E-02,-2.78E-02,-1.249,-1.293,-1.23E-02,-1.23E-02,-1.23E-02,-1.23E-02,-2.78E-02,-1.292,-1.988,-1.988,-1.988
-1.987,-3.85E-02,-2.78E-02,-1.248,-1.292,-1.23E-02,-1.23E-02,-1.23E-02,-1.23E-02,-2.78E-02,-1.292,-1.987,-1.987,-1.987
