X,M1_G-D_short ,M1_G-S_short ,M2_G-D_short ,M2_G-S_short ,R1_open ,R1_short ,R2_short ,M1_open ,M2_open ,M1_D-S_short ,/Vout ,M2_D-S_short ,R2_open 
-2,0.99985,-0.905981,-0.605858,0.99985,0.99985,-0.910357,1,-0.910357,1,0.99985,-0.907619,-1,-31.4876
-1.999,0.99985,-0.905983,-0.605864,0.99985,0.99985,-0.910357,1,-0.910357,1,0.99985,-0.907619,-1,-31.4876
-1.998,0.99985,-0.905985,-0.605864,0.99985,0.99985,-0.910357,1,-0.910357,1,0.99985,-0.907619,-1,-31.4876
-1.997,0.99985,-0.905986,-0.605864,0.99985,0.99985,-0.910357,1,-0.910357,1,0.99985,-0.907619,-1,-31.4876
-1.996,0.99985,-0.905988,-0.605864,0.99985,0.99985,-0.910357,1,-0.910357,1,0.99985,-0.907619,-1,-31.4876
-1.995,0.99985,-0.90599,-0.605864,0.99985,0.99985,-0.910357,1,-0.910357,1,0.99985,-0.907619,-1,-31.4876
-1.994,0.99985,-0.905992,-0.605864,0.99985,0.99985,-0.910357,1,-0.910357,1,0.99985,-0.907619,-1,-31.4876
-1.993,0.99985,-0.905993,-0.605864,0.99985,0.99985,-0.910357,1,-0.910357,1,0.99985,-0.907619,-1,-31.4876
-1.992,0.99985,-0.905995,-0.605864,0.99985,0.99985,-0.910357,1,-0.910357,1,0.99985,-0.907619,-1,-31.4876
-1.991,0.99985,-0.905997,-0.605864,0.99985,0.99985,-0.910357,1,-0.910357,1,0.99985,-0.907619,-1,-31.4876
-1.99,0.99985,-0.905999,-0.605864,0.99985,0.99985,-0.910357,1,-0.910357,1,0.99985,-0.907619,-1,-31.4876
-1.989,0.99985,-0.906,-0.605864,0.99985,0.99985,-0.910357,1,-0.910357,1,0.99985,-0.907619,-1,-31.4876
-1.988,0.99985,-0.906002,-0.605864,0.99985,0.99985,-0.910357,1,-0.910357,1,0.99985,-0.907619,-1,-31.4876
-1.987,0.99985,-0.906004,-0.605864,0.99985,0.99985,-0.910357,1,-0.910357,1,0.99985,-0.907619,-1,-31.4876
-1.986,0.99985,-0.906006,-0.605864,0.99985,0.99985,-0.910357,1,-0.910357,1,0.99985,-0.907619,-1,-31.4876
-1.985,0.99985,-0.906007,-0.605864,0.99985,0.99985,-0.910357,1,-0.910357,1,0.99985,-0.907619,-1,-31.4876
-1.984,0.99985,-0.906009,-0.605864,0.99985,0.99985,-0.910357,1,-0.910357,1,0.99985,-0.907619,-1,-31.4876
-1.983,0.99985,-0.906011,-0.605864,0.99985,0.99985,-0.910357,1,-0.910357,1,0.99985,-0.907619,-1,-31.4876
-1.982,0.99985,-0.906013,-0.605864,0.99985,0.99985,-0.910357,1,-0.910357,1,0.99985,-0.907619,-1,-31.4876
-1.981,0.99985,-0.906014,-0.605864,0.99985,0.99985,-0.910357,1,-0.910357,1,0.99985,-0.907619,-1,-31.4876
-1.98,0.99985,-0.906016,-0.605864,0.99985,0.99985,-0.910357,1,-0.910357,1,0.99985,-0.907619,-1,-31.4876
-1.979,0.99985,-0.906018,-0.605864,0.99985,0.99985,-0.910357,1,-0.910357,1,0.99985,-0.907619,-1,-31.4876
-1.978,0.99985,-0.90602,-0.605864,0.99985,0.99985,-0.910357,1,-0.910357,1,0.99985,-0.907619,-1,-31.4876
-1.977,0.99985,-0.906021,-0.605864,0.99985,0.99985,-0.910357,1,-0.910357,1,0.99985,-0.907619,-1,-31.4876
-1.976,0.99985,-0.906023,-0.605864,0.99985,0.99985,-0.910357,1,-0.910357,1,0.99985,-0.907619,-1,-31.4876
