X,R1_short,R1_open,R3_short,R2_open,R3_open,R4_open,R2_short,R4_short,M1_G-D short,M1_G-S short,M1_D-S short,M1-open,R1_redundant_short,R1_redundant_open,R3_redundant_short,R3_redundant_open,R4_redundant_open,R4_redundant_short,M1_redundant_G-D short,M1_redundant_G-S short,M1_redundant_D-S short,M1_redundant_Transistor-open,M1_switchG-D short,M1_switchD-S short,M1_switch-open
-2.0,-0.03515192603352491,-0.03517711712712549,-0.035638092013975886,-0.03554697460975329,-0.0366641069681708,-0.03806955459141999,-0.03517655727826855,-0.0363759693931015,-0.03814069290366351,-0.03545092505484995,-0.03593357946397408,-0.03554697460975329,-0.035274288907427065,-0.03593497038268108,-0.03515192603352491,-0.03517711712712549,-0.035638092013975886,-0.03554697460975329,-0.0425350978555046,-0.04043086452829176,-0.059749459824037884,-0.0363759693931015,-0.03814069290366351,-0.04991540687008704,-0.053785474497188096
-1.999,-0.03513754259437107,-0.03516270365354464,-0.03562351495488601,-0.035532425975874415,-0.03664910462827137,-0.03805397740603597,-0.03516213173773749,-0.03636109298968629,-0.03812508639712288,-0.03543641228698406,-0.03591887850508976,-0.035532425975874415,-0.035259815160625305,-0.0359202678228678,-0.03513754259437107,-0.03516270365354464,-0.03562351495488601,-0.035532425975874415,-0.04251769226226084,-0.04041431673362003,-0.05972501474922315,-0.03636109298968629,-0.03812508639712288,-0.049894984820818285,-0.05376346386511694
-1.998,-0.035123159155166235,-0.03514829017991493,-0.03560893789574404,-0.03551787734194427,-0.03663410228831881,-0.038038400220596805,-0.03514770619716047,-0.036346216586217325,-0.03810947989052703,-0.03542189951906747,-0.035904177546152855,-0.03551787734194427,-0.0352453414137752,-0.03590556526300208,-0.035123159155166235,-0.03514829017991493,-0.03560893789574404,-0.03551787734194427,-0.042500286668955604,-0.040397768938890403,-0.059700569674320976,-0.036346216586217325,-0.03810947989052703,-0.049874562771476706,-0.053741453232968216
-1.997,-0.03510877571591,-0.035133876706235904,-0.03559436083654957,-0.035503328707962425,-0.03661909994831271,-0.038022823035102016,-0.0351332806565371,-0.03633134018269419,-0.03809387338387551,-0.03540738675109974,-0.03588947658716294,-0.035503328707962425,-0.0352308676668764,-0.03589086270308345,-0.03510877571591,-0.035133876706235904,-0.03559436083654957,-0.035503328707962425,-0.0424828810755884,-0.04038122114410241,-0.05967612459933056,-0.03633134018269419,-0.03809387338387551,-0.04985414072206174,-0.05371944260074129
-1.996,-0.035094392276601896,-0.035119463232507184,-0.035579783777302115,-0.03548878007392843,-0.0366040976082526,-0.038007245849551126,-0.03511885511586699,-0.036316463779116404,-0.03807826687716781,-0.03539287398308047,-0.03587477562811953,-0.03548878007392843,-0.035216393919928424,-0.035876160143111485,-0.035094392276601896,-0.035119463232507184,-0.035579783777302115,-0.03548878007392843,-0.04246547548215869,-0.04036467334925554,-0.05965167952425122,-0.036316463779116404,-0.03807826687716781,-0.04983371867257273,-0.05369743196843546
-1.995,-0.0350800088372415,-0.03510504975872832,-0.035565206718001216,-0.035474231439841866,-0.03658909526813804,-0.037991668663943684,-0.03510442957514973,-0.036301587375483516,-0.038062660370403484,-0.03537836121500917,-0.03586007466902221,-0.035474231439841866,-0.035201920172930896,-0.03586145758308571,-0.0350800088372415,-0.03510504975872832,-0.035565206718001216,-0.035474231439841866,-0.04244806988866594,-0.04034812555434932,-0.059627234449082134,-0.036301587375483516,-0.038062660370403484,-0.04981329662300907,-0.05367542133605009
-1.994,-0.03506562539782837,-0.0350906362848989,-0.03555062965864647,-0.03545968280570226,-0.036574092927968545,-0.03797609147827917,-0.03509000403438494,-0.036286710971795054,-0.03804705386358202,-0.03536384844688545,-0.03584537370987052,-0.03545968280570226,-0.035187446425883374,-0.03584675502300569,-0.03506562539782837,-0.0350906362848989,-0.03555062965864647,-0.03545968280570226,-0.042430664295109624,-0.04033157775938321,-0.0596027893738226,-0.036286710971795054,-0.03804705386358202,-0.04979287457337011,-0.05365341070358453
-1.993,-0.035051241958362074,-0.035076222811018506,-0.03553605259923741,-0.0354451341715092,-0.03655909058774366,-0.03796051429255714,-0.03507557849357219,-0.03627183456805056,-0.03803144735670298,-0.03534933567870882,-0.03583067275066399,-0.0354451341715092,-0.03517297267878544,-0.03583205246287097,-0.035051241958362074,-0.035076222811018506,-0.03553605259923741,-0.0354451341715092,-0.04241325870148921,-0.04031502996435671,-0.05957834429847185,-0.03627183456805056,-0.03803144735670298,-0.04977245252365523,-0.053631400071038046
-1.992,-0.03503685851884213,-0.03506180933708668,-0.03552147553977354,-0.03543058553726219,-0.036544088247462934,-0.0379449371067771,-0.03506115295271108,-0.036256958164249536,-0.03801584084976582,-0.03533482291047887,-0.03581597179140213,-0.03543058553726219,-0.035158498931636674,-0.035817349902681046,-0.03503685851884213,-0.03506180933708668,-0.03552147553977354,-0.03543058553726219,-0.042395853107804145,-0.04029848216926933,-0.05955389922302906,-0.036256958164249536,-0.03801584084976582,-0.04975203047386376,-0.05360938943840997
-1.991,-0.035022475079268096,-0.03504739586310298,-0.035506898480254415,-0.03541603690296079,-0.03652908590712586,-0.03792935992093854,-0.03504672741180121,-0.03624208176039152,-0.03800023434277011,-0.035320310142195124,-0.03580127083208453,-0.03541603690296079,-0.03514402518443664,-0.035802647342435504,-0.035022475079268096,-0.03504739586310298,-0.035506898480254415,-0.03541603690296079,-0.04237844751405386,-0.040281934374120545,-0.05952945414749351,-0.03624208176039152,-0.03800023434277011,-0.049731608423995086,-0.053587378805699616
-1.99,-0.03500809163963953,-0.035032982389067,-0.035492321420679554,-0.035401488268604536,-0.036514083566731984,-0.03791378273504096,-0.03503230187084216,-0.036227205356476035,-0.037984627835715296,-0.03530579737385713,-0.03578656987271067,-0.035401488268604536,-0.035129551437184874,-0.03578794478213384,-0.03500809163963953,-0.035032982389067,-0.035492321420679554,-0.035401488268604536,-0.04236104192023783,-0.04026538657890983,-0.05950500907186437,-0.036227205356476035,-0.037984627835715296,-0.04971118637404851,-0.05356536817290628
-1.989,-0.03499370819995593,-0.035018568914978246,-0.03547774436104853,-0.03538693963419298,-0.03649908122628082,-0.03789820554908387,-0.03501787632983349,-0.03621232895250258,-0.037969021328600895,-0.035291284605464435,-0.03577186891328009,-0.03538693963419298,-0.03511507768988098,-0.03577324222177558,-0.03499370819995593,-0.035018568914978246,-0.03547774436104853,-0.03538693963419298,-0.0423436363263555,-0.040248838783636644,-0.059480563996140885,-0.03621232895250258,-0.037969021328600895,-0.049690764324023425,-0.05354335754002929
-1.988,-0.03497932476021687,-0.03500415544083633,-0.035463167301360815,-0.03537239099972562,-0.036484078885771876,-0.03788262836306679,-0.03500345078877479,-0.03619745254847067,-0.03795341482142644,-0.03527677183701659,-0.035757167953792315,-0.03537239099972562,-0.0351006039425245,-0.03575853966136024,-0.03497932476021687,-0.03500415544083633,-0.035463167301360815,-0.03537239099972562,-0.04232623073240628,-0.04023229098830049,-0.05945611892032221,-0.03619745254847067,-0.03795341482142644,-0.04967034227391911,-0.05352134690706787
-1.987,-0.034964941320421855,-0.034989741966640744,-0.03544859024161595,-0.035357842365202015,-0.036469076545204655,-0.037867051176989186,-0.03498902524766564,-0.03618257614437982,-0.03793780831419136,-0.035262259068513074,-0.03574246699424683,-0.035357842365202015,-0.035086130195114945,-0.035743837100887355,-0.034964941320421855,-0.034989741966640744,-0.03544859024161595,-0.035357842365202015,-0.04230882513838964,-0.04021574319290082,-0.05943167384440757,-0.03618257614437982,-0.03793780831419136,-0.04964992022373494,-0.053499336274021383
-1.986,-0.03495055788057042,-0.03497532849239108,-0.035434013181813453,-0.03534329373062168,-0.036454074204578676,-0.037851473990850516,-0.034974599706505606,-0.03616769974022951,-0.03792220180689517,-0.035247746299953475,-0.03572776603464319,-0.03534329373062168,-0.03507165644765192,-0.03572913454035644,-0.03495055788057042,-0.03497532849239108,-0.035434013181813453,-0.03534329373062168,-0.04229141954430497,-0.04019919539743706,-0.05940722876839616,-0.03616769974022951,-0.03792220180689517,-0.04962949817347022,-0.05347732564088907
